Date,Area,Station 1 Long,Station 1 Lat,Station 1 PTime,Station 1 STime, Station 2 Long,Station 2 Lat,Station 2 PTime,Station 2 STime, Station 3 Long,Station 3 Lat,Station 3 PTime,Station 3 STime,MAG
4/25/23,Cali,-120.39,38.03,0:39,1:9,-118.19,34.17,0:47,1:24,-118.16,38.43,0:56,1:40,Nan
4/24/23,SEAsia,103.78,1.36,1:23,2:29,96.83,-12.19,2:44,4:43,80.70,7.27,4:26,8:6,7.1
4/25/23,Caribbean,-66.15,18.11,0:24,0:43,-71.13,21.51,1:17,2:19,-77.53,18.23,2:36,4:39,Nan
4/26/23,Cali,-120.39,38.03,0:23,0:40,-118.16,38.43,0:47,1:25,-118.19,34.17,1:4,1:54,Nan
4/26/23,Caribbean,-66.15,18.11,0:28,0:51,-71.29,18.98,0:48,1:27,-71.13,21.51,1:2,1:52,Nan
4/27/23,Cali,-120.39,38.03,0:53,1:38,-123.30,44.59,0:55,1:39,-118.19,38.43,1:9,2:16,2.5
4/27/23,SEAsia,147.16,-9.40,1:32,2:44,146.25,-20.09,3:40,6:39,159.95,-9.44,3:56,7:9,4.7
4/27/23,SEAsia,103.78,1.36,1:23,2:28,96.83,-12.19,2:44,4:55,80.70,7.27,4:28,8:8,5.1
4/27/23,SEAsia,119.75,-5.01,0:58,1:45,119.73,-21.16,2:53,5:13,125.58,7.07,3:51,7:4,4.6
4/27/23,Caribbean,-71.29,18.98,1:5,1:56,-61.79,17.67,1:12,2:8,-71.13,21.51,1:19,2:22,2.8
4/27/23,Asia,109.49,30.28,1:5,1:55,102.74,25.12,1:11,2:7,108.92,34.03,1:25,2:32,4.4
4/27/23,Cali,-116.45,33.61,0:14,0:24,-118.19,34.17,0:41,1:12,-110.78,32.31,1:7,2:12,3.2
4/27/23,Asia,69.04,34.54,1:57,3:29,69.01,38.66,1:58,3:31,56.20,24.95,2:42,4:50,4.9
4/27/23,Asia,56.20,24.95,0:47,1:24,45.50,23.52,2:22,4:14,44.74,40.15,3:33,6:35,4.9
4/27/23,Asia,32.79,39.87,0:54,1:49,44.74,40.15,1:29,2:52,42.69,43.96,1:37,2:54,4.2
4/28/23,Asia,32.79,39.87,1:9,2:15,44.74,40.15,1:55,3:39,42.69,43.96,2:14,4:1,4.1